name,type,founding_family_or_principal,hq_city,hq_state,hq_country,aum_estimate_usd_billions,founded_year,crd_number,employees_estimate,source,notes,confidence_score
Archegos Capital Management,SFO,Bill Hwang,New York,NY,US,36,1990,,,Research Report / Bloomberg,Collapsed March 2021; Hwang convicted 2024 on 10 counts including securities fraud and racketeering; sentenced to 18 years,100
Cascade Investment,SFO,Bill Gates,Kirkland,WA,US,20,1994,,,Bloomberg,Gates personal investment vehicle for non-Microsoft wealth; owns Four Seasons Hotels and Ritz Carlton investments,98
MSD Capital,SFO,Michael Dell,New York,NY,US,16,1998,,,Bloomberg,Manages personal wealth of Michael and Susan Dell; separate from Dell Technologies,97
Bezos Expeditions,SFO,Jeff Bezos,Seattle,WA,US,,2000,,,Bloomberg,Amazon founder personal investment entity; invests in aerospace and tech ventures,88
Emerson Collective,SFO,Laurene Powell Jobs,Palo Alto,CA,US,,2004,,,Bloomberg,Steve Jobs widow family office; focuses on education immigration and environment; owns majority of The Atlantic,93
Hillspire,SFO,Eric Schmidt,Palo Alto,CA,US,,2012,,,Bloomberg,Former Google CEO family office; manages tech investments and philanthropic capital,88
Walton Enterprises,SFO,Walton Family (Walmart),Bentonville,AR,US,,1953,,,Forbes,Walmart founding family primary investment vehicle; one of the largest SFOs in the world by AUM,97
Soros Fund Management,SFO,George Soros,New York,NY,US,25,1969,,,Bloomberg,Converted from hedge fund to family office in 2011 after returning outside capital; among the most influential SFOs,98
Duquesne Family Office,SFO,Stanley Druckenmiller,Pittsburgh,PA,US,12,2010,,,Bloomberg,Converted from Duquesne Capital Management hedge fund in 2010; known for macro investing,95
Ziff Brothers Investments,SFO,Ziff Family (Ziff-Davis),New York,NY,US,2,1992,,,Bloomberg,Ziff-Davis publishing family; one of the earlier hedge-fund-to-family-office conversions among media families,88
Mars Family Office,SFO,Mars Family,McLean,VA,US,,,,,Forbes,Manages assets of Mars Inc. candy and food empire family; among the wealthiest private family offices in the US,72
Pritzker Organization,SFO,Pritzker Family,Chicago,IL,US,,1957,,,Bloomberg,Hyatt hotel founding family investment entity,82
