role,category,primary_responsibility,scope,transcript_support
Chief investment officer,Investments,Allocates family capital across asset classes,Public markets; private equity; venture capital; real estate; hedge funds,Explicitly named
Investment analyst,Investments,Researches companies and industries before investment,Financial statements; financial models; expert calls; industry research,Explicitly named
Controller,Finance and accounting,Keeps the financial operating system functioning,Entities; trusts; businesses; foundations; reporting,Explicitly named
Tax director,Tax,Coordinates complex tax obligations,Trusts; businesses; multiple countries; foundations; generations,Explicitly named
Chief of staff,Executive operations,"Coordinates decisions, advisers, teams, and crises",Investments; legal; accounting; properties; travel; security; philanthropy,Explicitly named
Private banker,Banking and advisory,Manages a wealthy family's financial relationship before possible internal hire,Banking relationship; trust; capital oversight,Explicitly named
Property manager,Lifestyle operations,Oversees one or more family properties,Homes; vendors; maintenance; logistics,Explicitly named
Travel coordinator,Lifestyle operations,Coordinates private and complex travel,Itineraries; transportation; logistics,Function explicitly described
Security professional,Security,"Protects family members, properties, information, and movements",Physical security; travel security; private-life risk,Function explicitly described
Philanthropy officer,Philanthropy,Runs charitable giving and foundation activity,Foundations; grants; charitable strategy,Explicitly named
Technology professional,Technology,Supports the family's technology environment,Systems; devices; infrastructure,Function explicitly described
Cybersecurity professional,Technology and security,Protects sensitive digital information and systems,Cybersecurity; privacy; access,Function explicitly described
Family governance specialist,Governance,"Helps families manage succession, conflict, and inheritance",Succession; family conflict; inheritance; next generation,Explicitly named
Next-generation educator or adviser,Governance and education,Prepares heirs to inherit and participate responsibly,Education; stewardship; governance readiness,Function explicitly described
Estate lawyer,Legal,Advises on estate structures and intergenerational transfer,Estate law; legal documents; succession,Career field explicitly named
Accountant,Finance and accounting,Handles financial reporting and accounting obligations,Accounts; reporting; entities,Explicitly named
Lawyer,Legal,Coordinates legal matters across the family enterprise,Legal documents; entities; disputes; advisers,Explicitly named
Fund manager relationship lead,Investments,Meets and evaluates outside fund managers,Manager selection; due diligence; capital allocation,Function explicitly described
