function,domain,description
Investment management,Financial,"Allocate capital across public markets, private equity, venture capital, real estate, hedge funds, and other assets"
Company and fund research,Financial,"Evaluate companies, acquisitions, industries, and outside fund managers"
Accounting,Financial,Maintain reporting and financial controls across complex entities
Tax,Financial,"Coordinate tax obligations across trusts, businesses, countries, foundations, and generations"
Legal coordination,Legal,"Manage legal documents, estate structures, advisers, and family legal needs"
Property management,Lifestyle,Operate multiple homes or large property portfolios
Travel,Lifestyle,Coordinate private and complex travel
Security,Risk,"Protect people, properties, movements, and private information"
Philanthropy,Social impact,Operate foundations and charitable activity
Technology,Operations,Maintain technology systems and infrastructure
Cybersecurity,Risk,"Protect digital systems, information, and access"
Family governance,Governance,"Manage succession, conflict, inheritance, and decision structures"
Next-generation preparation,Governance,Prepare heirs to inherit and participate responsibly
Executive coordination,Operations,"Route decisions and coordinate advisers, teams, vendors, and crises"
